"MDATE","RIQI","SENSOR_ID","SENSOR_NO","SENSOR_POSITION_JG","F11","F12","F13","F14","F15","F16","M_RESULT","REMARK1","REMARK2","REMARK3","REMARK4"
"2021-01-28 12:23:29","2021-01-28","SLX24","SLX24","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","18449.936","12195.936","1.95","正常",""
"2021-01-28 12:23:29","2021-01-28","SLS23","SLS23","3号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11208.495","7266.495","1.843","正常",""
"2021-01-28 12:23:29","2021-01-28","SLS24","SLS24","3号索塔","0.000","0.000","0.000","0.000","0.000","0.000","17506.995","11252.995","1.799","正常",""
"2021-01-28 12:23:29","2021-01-28","SLX01","SLX01","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","16433.657","10688.657","1.861","正常",""
"2021-01-28 12:23:29","2021-01-28","SLX02","SLX02","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11532.803","8005.803","2.27","正常",""
"2021-01-28 12:23:29","2021-01-28","SLX03","SLX03","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12690.427","9545.427","3.035","正常",""
"2021-01-28 12:23:29","2021-01-28","SLX04","SLX04","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12704.471","9655.471","3.167","正常",""
"2021-01-28 12:23:29","2021-01-28","SLX05","SLX05","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12861.713","10018.713","3.524","正常",""
"2021-01-29 04:23:49","2021-01-29","SLS01","SLS01","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","17061.071","11316.071","1.97","正常",""
"2021-01-29 04:23:49","2021-01-29","SLS02","SLS02","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11752.807","8225.807","2.332","正常",""
"2021-01-29 04:23:49","2021-01-29","SLS03","SLS03","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12687.456","9542.456","3.034","正常",""
"2021-01-29 04:23:49","2021-01-29","SLS04","SLS04","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12402.813","9353.813","3.068","正常",""
"2021-01-29 04:23:49","2021-01-29","SLS05","SLS05","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12584.636","9741.636","3.427","正常",""
"2021-01-29 04:23:49","2021-01-29","SLS06","SLS06","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12444.699","9487.699","3.209","正常",""
"2021-01-29 04:23:49","2021-01-29","SLS07","SLS07","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11346.543","7780.543","2.182","正常",""
"2021-01-29 04:23:49","2021-01-29","SLS08","SLS08","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","16938.161","11181.161","1.942","正常",""
"2021-01-10 05:01:27","2021-01-10","SLX10","SLX10","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11346.988","7123.988","1.687","正常",""
"2021-01-10 05:01:27","2021-01-10","SLX11","SLX11","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12617.838","8871.838","2.368","正常",""
"2021-01-10 05:01:27","2021-01-10","SLX12","SLX12","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12440.871","8968.871","2.583","正常",""
"2021-01-10 05:01:27","2021-01-10","SLX13","SLX13","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","13167.139","9718.139","2.818","正常",""
"2021-01-10 05:01:27","2021-01-10","SLX14","SLX14","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12246.186","8549.186","2.312","正常",""
"2021-01-10 05:01:27","2021-01-10","SLX15","SLX15","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11194.735","7020.735","1.682","正常",""
"2021-01-10 05:01:27","2021-01-10","SLX16","SLX16","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","18834.101","12134.101","1.811","正常",""
"2021-01-10 05:01:27","2021-01-10","SLX17","SLX17","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","18503.684","12062.684","1.873","正常",""
"2021-01-10 05:01:27","2021-01-10","SLX18","SLX18","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","9800.95","6037.95","1.605","正常",""
"2021-01-10 05:01:27","2021-01-10","SLX19","SLX19","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12236.592","8909.592","2.678","正常",""
"2021-01-10 05:01:27","2021-01-10","SLX20","SLX20","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12515.934","9217.934","2.795","正常",""
"2021-01-10 05:01:27","2021-01-10","SLX21","SLX21","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12186.725","8814.725","2.614","正常",""
"2021-01-10 05:01:27","2021-01-10","SLX22","SLX22","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12172.076","8766.076","2.574","正常",""
"2021-01-10 05:01:27","2021-01-10","SLX23","SLX23","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11502.868","7560.868","1.918","正常",""
"2021-01-10 05:01:27","2021-01-10","SLX24","SLX24","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","18449.936","12195.936","1.95","正常",""
"2021-01-10 05:01:27","2021-01-10","SLS23","SLS23","3号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11208.495","7266.495","1.843","正常",""
"2021-01-10 05:01:27","2021-01-10","SLS24","SLS24","3号索塔","0.000","0.000","0.000","0.000","0.000","0.000","17506.995","11252.995","1.799","正常",""
"2021-01-10 05:01:27","2021-01-10","SLX01","SLX01","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","16433.657","10688.657","1.861","正常",""
"2021-01-10 05:01:27","2021-01-10","SLX02","SLX02","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11532.803","8005.803","2.27","正常",""
"2021-01-10 05:01:27","2021-01-10","SLX03","SLX03","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12690.427","9545.427","3.035","正常",""
"2021-01-10 05:01:27","2021-01-10","SLX04","SLX04","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12704.471","9655.471","3.167","正常",""
"2021-01-10 05:01:27","2021-01-10","SLX05","SLX05","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12861.713","10018.713","3.524","正常",""
"2021-01-23 04:23:24","2021-01-23","SLX11","SLX11","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12617.838","8871.838","2.368","正常",""
"2021-01-23 04:23:24","2021-01-23","SLX12","SLX12","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12440.871","8968.871","2.583","正常",""
"2021-01-23 04:23:24","2021-01-23","SLX13","SLX13","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","13167.139","9718.139","2.818","正常",""
"2021-01-23 04:23:24","2021-01-23","SLX14","SLX14","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12246.186","8549.186","2.312","正常",""
"2021-01-23 04:23:24","2021-01-23","SLX15","SLX15","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11194.735","7020.735","1.682","正常",""
"2021-01-23 04:23:24","2021-01-23","SLX16","SLX16","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","18834.101","12134.101","1.811","正常",""
"2021-01-23 04:23:24","2021-01-23","SLX17","SLX17","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","18503.684","12062.684","1.873","正常",""
"2021-01-23 04:23:24","2021-01-23","SLX18","SLX18","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","9800.95","6037.95","1.605","正常",""
"2021-01-23 04:23:24","2021-01-23","SLX19","SLX19","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12236.592","8909.592","2.678","正常",""
"2021-01-23 04:23:24","2021-01-23","SLX20","SLX20","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12515.934","9217.934","2.795","正常",""
"2021-01-23 04:23:24","2021-01-23","SLX21","SLX21","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12186.725","8814.725","2.614","正常",""
"2021-01-23 04:23:24","2021-01-23","SLX22","SLX22","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12172.076","8766.076","2.574","正常",""
"2021-01-23 04:23:24","2021-01-23","SLX23","SLX23","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11502.868","7560.868","1.918","正常",""
"2021-01-23 04:23:24","2021-01-23","SLX24","SLX24","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","18449.936","12195.936","1.95","正常",""
"2021-01-23 04:23:24","2021-01-23","SLS23","SLS23","3号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11208.495","7266.495","1.843","正常",""
"2021-01-23 04:23:24","2021-01-23","SLS24","SLS24","3号索塔","0.000","0.000","0.000","0.000","0.000","0.000","17506.995","11252.995","1.799","正常",""
"2021-01-23 04:23:24","2021-01-23","SLX01","SLX01","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","16433.657","10688.657","1.861","正常",""
"2021-01-23 04:23:24","2021-01-23","SLX02","SLX02","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11532.803","8005.803","2.27","正常",""
"2021-01-23 04:23:24","2021-01-23","SLX03","SLX03","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12690.427","9545.427","3.035","正常",""
"2021-01-23 04:23:24","2021-01-23","SLX04","SLX04","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12704.471","9655.471","3.167","正常",""
"2021-01-23 04:23:24","2021-01-23","SLX05","SLX05","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12861.713","10018.713","3.524","正常",""
"2021-01-23 12:23:24","2021-01-23","SLS01","SLS01","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","17061.071","11316.071","1.97","正常",""
"2021-01-23 12:23:24","2021-01-23","SLS02","SLS02","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11752.807","8225.807","2.332","正常",""
"2021-01-23 12:23:24","2021-01-23","SLS03","SLS03","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12687.456","9542.456","3.034","正常",""
"2021-01-23 12:23:24","2021-01-23","SLS04","SLS04","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12402.813","9353.813","3.068","正常",""
"2021-01-23 12:23:24","2021-01-23","SLS05","SLS05","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12584.636","9741.636","3.427","正常",""
"2021-01-23 12:23:24","2021-01-23","SLS06","SLS06","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12444.699","9487.699","3.209","正常",""
"2021-01-23 12:23:24","2021-01-23","SLS07","SLS07","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11346.543","7780.543","2.182","正常",""
"2021-01-23 12:23:24","2021-01-23","SLS08","SLS08","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","16938.161","11181.161","1.942","正常",""
"2021-01-23 12:23:24","2021-01-23","SLS09","SLS09","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","6930","0","0","正常",""
"2021-01-23 12:23:24","2021-01-23","SLS10","SLS10","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","10854.36","6631.36","1.57","正常",""
"2021-01-23 12:23:24","2021-01-23","SLS11","SLS11","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12334.365","8588.365","2.293","正常",""
"2021-01-23 12:23:24","2021-01-23","SLS12","SLS12","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12718.03","9246.03","2.663","正常",""
"2021-01-23 12:23:24","2021-01-23","SLS13","SLS13","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12732.33","9283.33","2.692","正常",""
"2021-01-23 12:23:24","2021-01-23","SLS14","SLS14","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11645","7948","2.15","正常",""
"2021-01-23 12:23:24","2021-01-23","SLS15","SLS15","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12033.843","7859.843","1.883","正常",""
"2021-01-23 12:23:24","2021-01-23","SLS16","SLS16","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","19744.681","13044.681","1.947","正常",""
"2021-01-23 12:23:24","2021-01-23","SLS17","SLS17","3号索塔","0.000","0.000","0.000","0.000","0.000","0.000","18008.207","11567.207","1.796","正常",""
"2021-01-23 12:23:24","2021-01-23","SLS18","SLS18","3号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11195.451","7432.451","1.975","正常",""
"2021-01-23 12:23:24","2021-01-23","SLS19","SLS19","3号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11854.89","8527.89","2.563","正常",""
"2021-01-23 12:23:24","2021-01-23","SLS20","SLS20","3号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12713.377","9415.377","2.855","正常",""
"2021-01-23 12:23:24","2021-01-23","SLS21","SLS21","3号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12032.151","8660.151","2.568","正常",""
"2021-01-23 12:23:24","2021-01-23","SLS22","SLS22","3号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12284.873","8878.873","2.607","正常",""
"2021-01-23 12:23:24","2021-01-23","SLX06","SLX06","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12439.915","9482.915","3.207","正常",""
"2021-01-23 12:23:24","2021-01-23","SLX07","SLX07","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11097.315","7531.315","2.112","正常",""
"2021-01-23 12:23:24","2021-01-23","SLX08","SLX08","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","18628.659","12871.659","2.236","正常",""
"2021-01-23 12:23:24","2021-01-23","SLX09","SLX09","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","18458.232","11528.232","1.664","正常",""
"2021-01-23 12:23:24","2021-01-23","SLX10","SLX10","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11346.988","7123.988","1.687","正常",""
"2021-01-23 12:23:24","2021-01-23","SLX11","SLX11","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12617.838","8871.838","2.368","正常",""
"2021-01-23 12:23:24","2021-01-23","SLX12","SLX12","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12440.871","8968.871","2.583","正常",""
"2021-01-23 12:23:24","2021-01-23","SLX13","SLX13","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","13167.139","9718.139","2.818","正常",""
"2021-01-23 12:23:24","2021-01-23","SLX14","SLX14","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12246.186","8549.186","2.312","正常",""
"2021-01-23 12:23:24","2021-01-23","SLX15","SLX15","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11194.735","7020.735","1.682","正常",""
"2021-01-23 12:23:24","2021-01-23","SLX16","SLX16","5号索塔","0.000","0.000","0.000","0.000","0.000","0.000","18834.101","12134.101","1.811","正常",""
"2021-01-23 12:23:24","2021-01-23","SLX17","SLX17","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","18503.684","12062.684","1.873","正常",""
"2021-01-23 12:23:24","2021-01-23","SLX18","SLX18","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","9800.95","6037.95","1.605","正常",""
"2021-01-23 12:23:24","2021-01-23","SLX19","SLX19","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12236.592","8909.592","2.678","正常",""
"2021-01-23 12:23:24","2021-01-23","SLX20","SLX20","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12515.934","9217.934","2.795","正常",""
"2021-01-23 12:23:24","2021-01-23","SLX21","SLX21","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12186.725","8814.725","2.614","正常",""
"2021-01-23 12:23:24","2021-01-23","SLX22","SLX22","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12172.076","8766.076","2.574","正常",""
"2021-01-23 12:23:24","2021-01-23","SLX23","SLX23","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11502.868","7560.868","1.918","正常",""
"2021-01-23 12:23:24","2021-01-23","SLX24","SLX24","6号索塔","0.000","0.000","0.000","0.000","0.000","0.000","18449.936","12195.936","1.95","正常",""
"2021-01-23 12:23:24","2021-01-23","SLS23","SLS23","3号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11208.495","7266.495","1.843","正常",""
"2021-01-23 12:23:24","2021-01-23","SLS24","SLS24","3号索塔","0.000","0.000","0.000","0.000","0.000","0.000","17506.995","11252.995","1.799","正常",""
"2021-01-23 12:23:24","2021-01-23","SLX01","SLX01","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","16433.657","10688.657","1.861","正常",""
"2021-01-23 12:23:24","2021-01-23","SLX02","SLX02","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11532.803","8005.803","2.27","正常",""
"2021-01-23 12:23:24","2021-01-23","SLX03","SLX03","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12690.427","9545.427","3.035","正常",""
"2021-01-23 12:23:24","2021-01-23","SLX04","SLX04","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12704.471","9655.471","3.167","正常",""
"2021-01-23 12:23:24","2021-01-23","SLX05","SLX05","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12861.713","10018.713","3.524","正常",""
"2021-01-23 20:23:24","2021-01-23","SLS01","SLS01","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","17061.071","11316.071","1.97","正常",""
"2021-01-23 20:23:24","2021-01-23","SLS02","SLS02","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11752.807","8225.807","2.332","正常",""
"2021-01-23 20:23:24","2021-01-23","SLS03","SLS03","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12687.456","9542.456","3.034","正常",""
"2021-01-23 20:23:24","2021-01-23","SLS04","SLS04","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12402.813","9353.813","3.068","正常",""
"2021-01-23 20:23:24","2021-01-23","SLS05","SLS05","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12584.636","9741.636","3.427","正常",""
"2021-01-23 20:23:24","2021-01-23","SLS06","SLS06","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12444.699","9487.699","3.209","正常",""
"2021-01-23 20:23:24","2021-01-23","SLS07","SLS07","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11346.543","7780.543","2.182","正常",""
"2021-01-23 20:23:24","2021-01-23","SLS08","SLS08","1号索塔","0.000","0.000","0.000","0.000","0.000","0.000","16938.161","11181.161","1.942","正常",""
"2021-01-23 20:23:24","2021-01-23","SLS09","SLS09","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","6930","0","0","正常",""
"2021-01-23 20:23:24","2021-01-23","SLS10","SLS10","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","10854.36","6631.36","1.57","正常",""
"2021-01-23 20:23:24","2021-01-23","SLS11","SLS11","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12334.365","8588.365","2.293","正常",""
